year,week,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,week_start,week_sin,week_cos,month,temp_range,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2022,16,103.6,28.8,31.585714285714285,25.900000000000002,4,2022-04-18,0.9350162426854148,-0.35460488704253545,4,5.685714285714283,72.60000000000001,196.10000000000002,28.428571428571427,27.12857142857143,4.0,1
2022,17,101.79999999999998,29.157142857142855,32.1,25.885714285714283,5,2022-04-25,0.8854560256532099,-0.4647231720437685,4,6.214285714285719,103.6,72.60000000000001,28.8,28.428571428571427,4.0,1
2022,18,51.9,30.085714285714285,32.42857142857143,27.428571428571427,4,2022-05-02,0.8229838658936565,-0.5680647467311557,5,5.0000000000000036,101.79999999999998,103.6,29.157142857142855,28.8,5.0,1
2022,19,52.2,28.985714285714288,31.114285714285717,26.771428571428572,5,2022-05-09,0.7485107481711013,-0.663122658240795,5,4.342857142857145,51.9,101.79999999999998,30.085714285714285,29.157142857142855,4.0,1
2022,20,45.300000000000004,28.685714285714287,30.842857142857145,26.0,7,2022-05-16,0.6631226582407952,-0.7485107481711012,5,4.842857142857145,52.2,51.9,28.985714285714288,30.085714285714285,5.0,1
2022,21,78.8,28.099999999999998,30.385714285714283,25.47142857142857,7,2022-05-23,0.5680647467311558,-0.8229838658936564,5,4.914285714285711,45.300000000000004,52.2,28.685714285714287,28.985714285714288,7.0,1
2022,22,133.9,28.0,30.542857142857144,25.557142857142857,6,2022-05-30,0.46472317204376906,-0.8854560256532096,5,4.9857142857142875,78.8,45.300000000000004,28.099999999999998,28.685714285714287,7.0,0
2022,23,7.8999999999999995,28.357142857142858,30.52857142857143,26.5,5,2022-06-06,0.35460488704253584,-0.9350162426854147,6,4.0285714285714285,133.9,78.8,28.0,28.099999999999998,6.0,1
2022,24,48.8,28.271428571428572,30.514285714285712,26.02857142857143,6,2022-06-13,0.23931566428755768,-0.970941817426052,6,4.485714285714284,7.8999999999999995,133.9,28.357142857142858,28.0,5.0,1
2022,25,15.5,28.685714285714287,30.900000000000002,27.02857142857143,3,2022-06-20,0.12053668025532308,-0.992708874098054,6,3.8714285714285737,48.8,7.8999999999999995,28.271428571428572,28.357142857142858,6.0,0
2022,26,1.0,28.657142857142855,30.599999999999998,27.528571428571432,1,2022-06-27,-3.216245299353273e-16,-1.0,6,3.071428571428566,15.5,48.8,28.685714285714287,28.271428571428572,3.0,0
2022,27,0.0,28.185714285714287,30.314285714285713,26.12857142857143,0,2022-07-04,-0.12053668025532283,-0.992708874098054,7,4.185714285714283,1.0,15.5,28.657142857142855,28.685714285714287,1.0,0
2022,28,2.0,28.5,30.725,26.225,2,2022-07-11,-0.23931566428755743,-0.9709418174260521,7,4.5,0.0,1.0,28.185714285714287,28.657142857142855,0.0,0
2022,29,3.5999999999999996,28.02857142857143,30.400000000000002,26.657142857142855,3,2022-07-18,-0.3546048870425356,-0.9350162426854148,7,3.7428571428571473,2.0,0.0,28.5,28.185714285714287,2.0,0
2022,30,3.0999999999999996,27.885714285714283,30.514285714285712,26.085714285714285,2,2022-07-25,-0.46472317204376806,-0.8854560256532101,7,4.428571428571427,3.5999999999999996,2.0,28.02857142857143,28.5,3.0,1
2022,31,47.199999999999996,27.24285714285714,29.3,25.685714285714283,6,2022-08-01,-0.5680647467311556,-0.8229838658936566,8,3.6142857142857174,3.0999999999999996,3.5999999999999996,27.885714285714283,28.02857142857143,2.0,0
2022,32,0.8,28.157142857142855,30.2,26.557142857142857,1,2022-08-08,-0.663122658240795,-0.7485107481711013,8,3.6428571428571423,47.199999999999996,3.0999999999999996,27.24285714285714,27.885714285714283,6.0,0
2022,33,1.0,28.428571428571427,30.8,26.685714285714283,1,2022-08-15,-0.7485107481711011,-0.6631226582407952,8,4.114285714285717,0.8,47.199999999999996,28.157142857142855,27.24285714285714,1.0,0
2022,34,6.3,27.585714285714285,30.142857142857142,26.0,3,2022-08-22,-0.8229838658936564,-0.5680647467311559,8,4.142857142857142,1.0,0.8,28.428571428571427,28.157142857142855,1.0,1
2022,35,65.9,26.642857142857142,29.057142857142857,25.157142857142855,6,2022-08-29,-0.8854560256532096,-0.4647231720437691,8,3.900000000000002,6.3,1.0,27.585714285714285,28.428571428571427,3.0,1
2022,36,15.2,27.2,29.357142857142858,25.714285714285715,2,2022-09-05,-0.9350162426854147,-0.3546048870425359,9,3.6428571428571423,65.9,6.3,26.642857142857142,27.585714285714285,6.0,0
2022,37,0.0,28.0,30.2,26.5,0,2022-09-12,-0.970941817426052,-0.23931566428755774,9,3.6999999999999993,15.2,65.9,27.2,26.642857142857142,2.0,0
2022,38,3.6,28.52,30.860000000000003,26.74,1,2022-09-21,-0.992708874098054,-0.12053668025532357,9,4.1200000000000045,0.0,15.2,28.0,27.2,0.0,0
2022,39,13.2,28.3,30.942857142857143,26.571428571428573,4,2022-09-26,-1.0,-1.8369701987210297e-16,9,4.37142857142857,3.6,0.0,28.52,28.0,1.0,0
2022,40,0.5,28.12857142857143,30.385714285714283,26.74285714285714,1,2022-10-03,-0.992708874098054,0.1205366802553232,10,3.6428571428571423,13.2,3.6,28.3,28.52,4.0,1
2022,41,180.4,26.62857142857143,29.17142857142857,24.82857142857143,5,2022-10-10,-0.9709418174260521,0.23931566428755738,10,4.342857142857142,0.5,13.2,28.12857142857143,28.3,1.0,1
2022,42,213.89999999999998,26.442857142857143,28.7,24.385714285714283,7,2022-10-17,-0.9350162426854148,0.35460488704253557,10,4.314285714285717,180.4,0.5,26.62857142857143,28.12857142857143,5.0,1
2022,43,55.8,27.557142857142857,30.642857142857142,24.185714285714283,5,2022-10-24,-0.8854560256532101,0.464723172043768,10,6.457142857142859,213.89999999999998,180.4,26.442857142857143,26.62857142857143,7.0,1
2022,44,76.0,26.942857142857143,30.442857142857143,25.52857142857143,6,2022-10-31,-0.822983865893657,0.5680647467311548,10,4.914285714285715,55.8,213.89999999999998,27.557142857142857,26.442857142857143,5.0,1
2022,45,57.99999999999999,26.885714285714283,30.542857142857144,24.271428571428572,6,2022-11-07,-0.7485107481711011,0.6631226582407952,11,6.271428571428572,76.0,55.8,26.942857142857143,27.557142857142857,6.0,1
2022,46,132.1,26.942857142857143,30.542857142857144,23.857142857142858,2,2022-11-14,-0.6631226582407955,0.7485107481711007,11,6.685714285714287,57.99999999999999,76.0,26.885714285714283,26.942857142857143,6.0,0
2022,47,0.0,27.52857142857143,30.957142857142856,24.099999999999998,0,2022-11-21,-0.5680647467311559,0.8229838658936564,11,6.857142857142858,132.1,57.99999999999999,26.942857142857143,26.885714285714283,2.0,1
