week_start,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,temp_range,week_sin,week_cos,month,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2010-07-13,37.0,27.45,29.833333333333332,25.46666666666667,6,4.366666666666664,-0.23931566428755743,-0.9709418174260521,7,11.5,73.0,27.614285714285717,27.685714285714287,4.0,0
2010-07-19,14.2,27.75714285714286,29.75714285714286,25.7,1,4.0571428571428605,-0.3546048870425356,-0.9350162426854148,7,37.0,11.5,27.45,27.614285714285717,6.0,0
2010-07-26,0.3,27.785714285714285,29.885714285714283,26.014285714285712,1,3.87142857142857,-0.46472317204376806,-0.8854560256532101,7,14.2,37.0,27.75714285714286,27.45,1.0,0
2010-08-02,0.0,28.214285714285715,30.400000000000002,27.057142857142857,0,3.342857142857145,-0.5680647467311556,-0.8229838658936566,8,0.3,14.2,27.785714285714285,27.75714285714286,1.0,0
2010-08-09,0.0,27.914285714285715,29.97142857142857,26.885714285714283,0,3.085714285714289,-0.663122658240795,-0.7485107481711013,8,0.0,0.3,28.214285714285715,27.785714285714285,0.0,0
2010-08-16,10.2,27.085714285714285,29.285714285714285,25.957142857142856,1,3.328571428571429,-0.7485107481711011,-0.6631226582407952,8,0.0,0.0,27.914285714285715,28.214285714285715,0.0,0
2010-08-23,0.0,27.0,30.37142857142857,26.057142857142857,0,4.314285714285713,-0.8229838658936564,-0.5680647467311559,8,10.2,0.0,27.085714285714285,27.914285714285715,1.0,0
2010-08-30,4.8999999999999995,27.442857142857143,29.714285714285715,25.900000000000002,2,3.814285714285713,-0.8854560256532096,-0.4647231720437691,8,0.0,10.2,27.0,27.085714285714285,0.0,0
2010-09-06,1.0,28.071428571428573,30.5,26.014285714285712,1,4.4857142857142875,-0.9350162426854147,-0.3546048870425359,9,4.8999999999999995,0.0,27.442857142857143,27.0,2.0,0
2010-09-13,8.6,28.17142857142857,30.485714285714288,26.585714285714285,3,3.900000000000002,-0.970941817426052,-0.23931566428755774,9,1.0,4.8999999999999995,28.071428571428573,27.442857142857143,1.0,1
2010-09-20,240.9,26.7,29.5,24.771428571428572,7,4.728571428571428,-0.992708874098054,-0.12053668025532357,9,8.6,1.0,28.17142857142857,28.071428571428573,3.0,1
2010-09-27,94.5,25.814285714285713,29.25714285714286,24.014285714285712,6,5.242857142857147,-1.0,-1.8369701987210297e-16,9,240.9,8.6,26.7,28.17142857142857,7.0,1
2010-10-04,45.0,27.885714285714283,30.185714285714287,25.571428571428573,5,4.614285714285714,-0.992708874098054,0.1205366802553232,10,94.5,240.9,25.814285714285713,26.7,6.0,0
2010-10-11,5.3,28.02857142857143,30.24285714285714,26.542857142857144,1,3.6999999999999957,-0.9709418174260521,0.23931566428755738,10,45.0,94.5,27.885714285714283,25.814285714285713,5.0,0
2010-10-18,1.8,28.02857142857143,30.157142857142855,26.5,1,3.657142857142855,-0.9350162426854148,0.35460488704253557,10,5.3,45.0,28.02857142857143,27.885714285714283,1.0,1
2010-10-25,29.3,26.97142857142857,30.057142857142857,24.742857142857144,3,5.314285714285713,-0.8854560256532101,0.464723172043768,10,1.8,5.3,28.02857142857143,28.02857142857143,1.0,1
2010-11-01,24.299999999999997,27.514285714285712,29.814285714285713,25.142857142857142,4,4.671428571428571,-0.822983865893657,0.5680647467311548,11,29.3,1.8,26.97142857142857,28.02857142857143,3.0,1
2010-11-08,458.5,27.142857142857142,29.900000000000002,24.32857142857143,5,5.571428571428573,-0.7485107481711011,0.6631226582407952,11,24.299999999999997,29.3,27.514285714285712,26.97142857142857,4.0,1
2010-11-15,90.8,26.285714285714285,30.014285714285712,23.685714285714287,4,6.328571428571426,-0.6631226582407955,0.7485107481711007,11,458.5,24.299999999999997,27.142857142857142,27.514285714285712,5.0,1
2010-11-22,330.4,25.614285714285717,29.714285714285715,22.900000000000002,7,6.814285714285713,-0.5680647467311559,0.8229838658936564,11,90.8,458.5,26.285714285714285,27.142857142857142,4.0,1
